Über wie viele Jahre erstreckt sich die Ausbildung zum Anlagenmechaniker?;drei;vier;DREIEINHALB,zwei;gewichtung1;Allgemein
Womit schneidet man Gewinde auf Stahlrohr?;Seitenschneider;Gewindemuffe;Tigersäge;GEWINDESCHNEIDKLUPPE;gewichtung1;Allgemein
Womit dichtet man konische Gewinde ein?;Silikon;LOCTITE;Kleber;Silikon;gewichtung2;Allgemein
Wo wird die Aufbereitung des Heizungswassers geregelt?;vdi 2045;VDI 2035;din 2045;trgi;gewichtung9;Heizung
Ein niedriger ph-Wert (säurehaltig) greift die Metalle in einer Heizungsinstallation an. Welchen ph-Wert sollte das Heizungswasser haben, wenn auch noch Aluminium in der Anlage verbaut ist?;8,2 bis 9,5;7,5 bis 9,5;7,5 bis 8,5;8,2 BIS 8,5;gewichtung9;Heizung
Welcher max. Schalldruckpegel ist für schutzbedürftige Räume festgelegt?; 20 db(A);35 DB(A);50 db(A);75 db(A);gewichtung5;Allgemein
Wofür steht die Abkürzung AT in Zusammenhang mit der Heizlastberechnung?;AUßENTEMPERATUR;Allgemeine Temperatur;Abstandstemperatur;Absolute Temperatur;gewichtung3;Heizung
Was ist die Norm-Außentemperatur für den Standort der Hochschule Trier in 54293 Trier?;-9,4 GRAD;-15,2 Grad;-6,7 Grad;-13,1 Grad;gewichtung7;Heizung
Wofür steht steht die Abkürzung MAG in einer Heizungsanlage?;Maximale Abgas-Gefahr;MEMBRAN-AUSDEHNUNGSFEFÄSS;Minimales Abgas-Gefälle;Modulierende Anlagengrenztemperatur;gewichtung4;Heizung
Mit welcher Anlage kann gleichzeitig Strom und Wärme erzeugt werden?;Gas-Therme;BLOCKHEIZKRAFTWERK;Gas-Brennwertkessel;Öl-Brennwertkessel;gewichtung3;Heizung
Welche DIN regelt die Berechnung der Heizlast?;din 1880;DIN 12831;din 1946;din 12010;gewichtung4;Heizung
